Anio,Mes,CodigoPais,PaisOrigen,LongitudPais,LatitudPais,CodigoDepto,DepartamentoDestino,LongitudDpto,LatitudDpto,Partida,Cadena,Producto,CodigoUnidad,CantidadUnidades,ValorMilesFOBDol,ValorMilesPesos,VolumenToneladas
2017,Julio,105,Brasil,-55,-10,73,TOLIMA,-751953679078,443280938914,"0105110000 - Gallos y gallinas de las especies domésticas, de peso inferior o igual a 185 g, vivos.",Avícola,Gallos y gallinas,U,40992,624.66,1947616.24,1.82
2017,Julio,105,Brasil,-55,-10,76,VALLE DEL CAUCA,-765215601611,34144187719,"0105110000 - Gallos y gallinas de las especies domésticas, de peso inferior o igual a 185 g, vivos.",Avícola,Gallos y gallinas,U,52320,339.45,1076352.2,2.09
2017,Julio,249,Estados Unidos,-98.5,39.76,5,ANTIOQUIA,-755760017134,624858636743,"0408910000 - Los demás huevos de ave sin cáscara, secos.",Avícola,Huevos,KG,9022.68,34.92,118006.12,9.02
2017,Julio,249,Estados Unidos,-98.5,39.76,11,"BOGOTÁ, D. C.",-74106715324,464993705899,0408110000 - Yemas de huevo secas.,Avícola,Huevos,KG,4490.61,20.3,66943.07,4.49
2017,Julio,249,Estados Unidos,-98.5,39.76,5,ANTIOQUIA,-755760017134,624858636743,"0207270000 - Trozos y despojos de pavo (gallipavo), congelados.",Avícola,Carne y despojos comestibles de pavos,KG,24947.84,87.14,277469.15,24.95
2017,Julio,211,Chile,-71,-30,13,BOLÍVAR,-754964264795,103849883546,"0207270000 - Trozos y despojos de pavo (gallipavo), congelados.",Avícola,Carne y despojos comestibles de pavos,KG,23999.22,116.4,356328.01,24
2017,Julio,589,Perú,-75.25,-10,13,BOLÍVAR,-754964264795,103849883546,"0207270000 - Trozos y despojos de pavo (gallipavo), congelados.",Avícola,Carne y despojos comestibles de pavos,KG,43970.16,152.82,472602.6,43.97
2017,Julio,249,Estados Unidos,-98.5,39.76,5,ANTIOQUIA,-755760017134,624858636743,"0207420000 - Carnes de pato sin trocear, congeladas.",Avícola,Carne y despojos comestibles de ganso o pato,KG,597.12,2.34,7603.64,0.6
2017,Julio,249,Estados Unidos,-98.5,39.76,11,"BOGOTÁ, D. C.",-74106715324,464993705899,"0207270000 - Trozos y despojos de pavo (gallipavo), congelados.",Avícola,Carne y despojos comestibles de pavos,KG,4707.48,13.91,43636.24,4.71
2017,Agosto,249,Estados Unidos,-98.5,39.76,11,"BOGOTÁ, D. C.",-74106715324,464993705899,"0207420000 - Carnes de pato sin trocear, congeladas.",Avícola,Carne y despojos comestibles de ganso o pato,KG,2985.7,11.52,54749.51,2.99
2017,Agosto,249,Estados Unidos,-98.5,39.76,11,"BOGOTÁ, D. C.",-74106715324,464993705899,"0207450000 - Las demás carnes y despojos comestibles de patos, congelados.",Avícola,Carne y despojos comestibles de ganso o pato,KG,858.62,4.54,24678.91,0.86
2017,Agosto,105,Brasil,-55,-10,8,ATLÁNTICO,-748132169683,109783195607,"0105110000 - Gallos y gallinas de las especies domésticas, de peso inferior o igual a 185 g, vivos.",Avícola,Gallos y gallinas,U,28599,949.81,2855915.94,1.35
2017,Agosto,105,Brasil,-55,-10,68,SANTANDER,-731325976221,711626842734,"0105110000 - Gallos y gallinas de las especies domésticas, de peso inferior o igual a 185 g, vivos.",Avícola,Gallos y gallinas,U,27600,320.66,982748.26,1.23
