MUNICIPIOS,PRODUCTO,AREA SEMBRADA (ha) ,AREA COSECHADA (ha) ,RENDIMIENTO (t/ha) ,PRODUCCIÓN (t) ,PRECIO PAGADO AL PRODUCTOR ($/kg),EXPLOTACIONES AGRÍCOLAS
TOLU,YUCA ASOCIADA,450,380,7,2660,1067.00,400
TOLUVIEJO,YUCA ASOCIADA,220,200,4,800,933.00,180
CAIMITO,YUCA INDUSTRIAL,25,10,14,140,367.00,5
COROZAL,YUCA INDUSTRIAL,180,180,20,3600,258.00,60
EL PALMITO,YUCA INDUSTRIAL,400,396,95,3762,232.00,385
EL ROBLE,YUCA INDUSTRIAL,42,35,12,420,300.00,7
GALERAS,YUCA INDUSTRIAL,230,230,21,4830,200.00,103
LA UNION,YUCA INDUSTRIAL,334,334,22,7348,190.00,167
LOS PALMITOS,YUCA INDUSTRIAL,85,80,81,648,250.00,72
MORROA,YUCA INDUSTRIAL,137,137,135,18495,180.00,115
SAMPUES,YUCA INDUSTRIAL,436,100,15,1500,300.00,233
SAN JUAN DE BETULIA,YUCA INDUSTRIAL,125,125,10,1250,170.00,20
SAN MARCOS,YUCA INDUSTRIAL,150,150,18,2700,250.00,4
SAN PEDRO,YUCA INDUSTRIAL,200,190,18,3420,240.00,50
SINCE,YUCA INDUSTRIAL,4285,36423,215,7830945,223.00,18
SINCELEJO,YUCA INDUSTRIAL,300,300,22,6600,250.00,15
TOLUVIEJO,YUCA INDUSTRIAL,130,100,12,1200,220.00,10
